word,idf
?,0.9516466540549524
to,1.1908636736599607
in,1.2240040291771173
how,1.4686927824858862
a,1.5213110191010475
the,1.9282924995795712
of,2.1411656688296876
is,2.162783804550538
and,2.2611292980748785
with,2.2825923624712416
:,2.393159252719924
(,2.4566754428161577
),2.457460016923213
i,2.558048851066055
for,2.5622638909265185
from,2.728714738197485
on,2.729824000651771
not,2.737303943221278
using,2.803419852616765
an,2.8721141083985775
what,2.888052535990858
",",2.904721149279915
do,2.9101181230388256
can,2.910402982747346
does,3.068296015741895
-,3.117998517673071
``,3.1194020266753912
why,3.1462094675725103
android,3.2192637475471457
when,3.2477302856882924
use,3.288607726411883
file,3.301864042771494
get,3.326465354571348
python,3.330504598378253
java,3.410366634313778
or,3.4237642655581473
c,3.457819037038883
's,3.520138165466265
string,3.5587929021728146
it,3.588469764416222
between,3.6301106160916667
error,3.666658874568408
#,3.6758043503632543
javascript,3.705014091443086
function,3.7784916128036232
way,3.7841637777560897
',3.799987981362363
if,3.813251701117405
n't,3.821956614337232
are,3.8604970296450087
class,3.897010213038961
as,3.930683428145549
array,3.964712163520085
by,3.9753986606164706
object,3.9853655205318628
difference,3.9889892178769344
list,4.010440788406677
data,4.019324641074317
git,4.019900512095126
all,4.036161032966906
c++,4.037625805456721
value,4.054179538469585
code,4.0553725001380565
type,4.062860928122494
multiple,4.063161634785413
without,4.0658720716201815
set,4.070708840420796
method,4.096803951203648
there,4.098048893785854
jquery,4.108693953605851
be,4.109323676548575
that,4.144583739505055
files,4.15639877684813
create,4.20823086903443
vs,4.212062958726527
php,4.213809684061469
>,4.2335843397208865
into,4.276950580932402
text,4.279187718330759
my,4.287057348602176
app,4.305281087558628
studio,4.306431173941865
find,4.320725409986101
add,4.340372407369898
change,4.340769311522757
make,4.344348555749538
<,4.3507434616353855
you,4.368543284336595
server,4.38916257153933
convert,4.403430543337035
asp.net,4.408090581424849
sql,4.410215980737163
one,4.421341469903565
after,4.43346283043591
windows,4.461733264374166
application,4.465323932504894
variable,4.465773673911171
ios,4.472544180478382
check,4.482100567198599
image,4.494060231368481
work,4.498698458607637
two,4.500559789996586
.,4.5066331560136685
custom,4.544842197386863
this,4.5541354899986715
should,4.559555557468011
name,4.566496586822246
html,4.580020459355572
only,4.587105509236242
have,4.596801936317575
number,4.599883602854983
no,4.609185995517296
line,4.6133483324319835
values,4.619099982274948
mvc,4.625940314129344
element,4.62752551921691
remove,4.633359532051372
working,4.636022649470856
possible,4.636556125077
return,4.640298444333645
visual,4.659223042641291
.net,4.659223042641291
time,4.669648377120517
css,4.672963297283139
default,4.686333970012227
new,4.6880179445892365
swift,4.7170881021920765
table,4.726385089551247
view,4.727553313983174
but,4.728722904759777
api,4.73106619815775
at,4.731652880486107
mysql,4.739902779958248
run,4.7452424544667515
best,4.747028700848216
access,4.748818143616201
rails,4.750012886888543
call,4.753006004956675
command,4.7626446337944435
django,4.7626446337944435
different,4.763250143955239
project,4.763856020980741
same,4.77789348065633
json,4.77789348065633
/,4.795252875041413
google,4.8122826148862154
2,4.813555689533014
inside,4.819945487631784
user,4.823799056947775
any,4.823799056947775
which,4.832848892467692
key,4.839363573488886
ca,4.873265125164568
page,4.87529558271495
web,4.881411809732385
than,4.896521987328835
another,4.897907029101496
memory,4.904163566715802
size,4.904163566715802
database,4.909757986901126
spring,4.913270459778267
where,4.913974437280061
static,4.917501777798029
url,4.917501777798029
std,4.940376256210609
column,4.948361779589537
getting,4.952012751151417
script,4.952744547744632
property,4.964526716442892
version,4.972708242184194
null,4.990034475990105
objects,4.990034475990105
